Ticker,Weight,MarketValue
AMD,0.07221801441922569,7849.5
APLD,0.07529534182389383,8183.98
APP,0.07041622119113967,7653.66
BRK-B,0.0023713600874087585,257.7472
CPNG,0.0,0.0
GOOGL,0.09534636370617579,10363.36
HOOD,0.0,0.0
META,0.0842349374529893,9155.64
NBIS,0.0,0.0
QQQM,0.04676621301921984,5083.1
RDDT,0.14184116689988227,15416.960000000001
SGOV,0.049416460962859836,5371.160000000001
SMCI,0.06715847525500317,7299.570000000001
SNOW,0.06984110837104339,7591.15
TSLA,0.0697564653068155,7581.95
ULTY,0.15533787150434314,16883.94
